"identifiant";"prenom";"nom";"region";"departement";"numero_circonscription";"profession";"groupe_politique_complet";"groupe_politique_abrege"
"841749";"Tiffany";"Joncour";"Auvergne-Rhéne-Alpes";"Rhéne";"13";"(37) - Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"642725";"Eric";"Liégeon";"Bourgogne-Franche-Comté";"Doubs";"5";"Exploitant agricole";"Droite Républicaine";"DR"
"794954";"Emeric";"Salmon";"Bourgogne-Franche-Comté";"Haute-Saéne";"2";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"794518";"Pierre";"Marle";"Hauts-de-France";"Nord";"14";"Directeur d'école primaire (retraité)";"Horizons & Indépendants";"HOR"
"841199";"Thierry";"Perez";"Auvergne-Rhéne-Alpes";"Isére";"10";"(33) - Cadre de la fonction publique";"Rassemblement National";"RN"
"841701";"Léa";"Balage El Mariky";"Ile-de-France";"Paris";"3";"(37) - Cadre administratif et commercial d'entreprise";"écologiste et Social";"EcoS"
"793592";"Géraldine";"Grangier";"Bourgogne-Franche-Comté";"Doubs";"4";"Profession intermédiaire administrative de la fonction publique";"Rassemblement National";"RN"
"721158";"Pieyre-Alexandre";"Anglade";"Franéais établis hors de France";"Franéais établis hors de France";"4";"Agent contractuel au Parlement européen";"Ensemble pour la République";"EPR"
"795516";"Maxime";"Laisney";"Ile-de-France";"Seine-et-Marne";"10";"Professeur des écoles, instituteur et assimilé";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"719472";"Jean-René";"Cazeneuve";"Occitanie";"Gers";"1";"Ingénieur";"Ensemble pour la République";"EPR"
"793330";"Bryan";"Masson";"Provence-Alpes-Céte d'Azur";"Alpes-Maritimes";"6";"Profession intermédiaire administrative de la fonction publique";"Rassemblement National";"RN"
"793852";"Pierre";"Meurin";"Occitanie";"Gard";"4";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"793246";"Frédéric";"Falcon";"Occitanie";"Aude";"2";"Commeréant et assimilé";"Rassemblement National";"RN"
"795982";"Aurélien";"Saintoul";"Ile-de-France";"Hauts-de-Seine";"11";"Cadre de la fonction publique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"840997";"Benoét";"Biteau";"Nouvelle-Aquitaine";"Charente-Maritime";"2";"(12) - Agriculteur sur moyenne exploitation";"écologiste et Social";"EcoS"
"609332";"Olivier";"Faure";"Ile-de-France";"Seine-et-Marne";"11";"Cadre supérieur (secteur privé)";"Socialistes et apparentés";"SOC"
"793508";"Hubert";"Brigand";"Bourgogne-Franche-Comté";"Céte-d'Or";"4";"Ancienne profession intermédiaire";"Droite Républicaine";"DR"
"794502";"Michaél";"Taverne";"Hauts-de-France";"Nord";"12";"Policier et militaire";"Rassemblement National";"RN"
"795730";"Bastien";"Marchive";"Nouvelle-Aquitaine";"Deux-Sévres";"1";"Juriste";"Ensemble pour la République";"EPR"
"794770";"Michéle";"Martinez";"Occitanie";"Pyrénées-Orientales";"4";"Clerc d'huissier";"Rassemblement National";"RN"
"605745";"Nicolas";"Sansu";"Centre-Val de Loire";"Cher";"2";"Permanent politique";"Gauche Démocrate et Républicaine";"GDR"
"793904";"Aurélien";"Lopez-Liguori";"Occitanie";"Hérault";"7";"Attaché parlementaire";"Rassemblement National";"RN"
"840793";"Marc";"Pena";"Provence-Alpes-Céte d'Azur";"Bouches-du-Rhéne";"11";"(34) - Professeur, profession scientifique";"Socialistes et apparentés";"SOC"
